Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
---------------------------------
| rollout/           |          |
|    learning_rate        | 0.0003    |
|    loss                 | 0.0371    |
|    n_updates            | 460       |
|    policy_gradient_loss | -0.00661  |
|    value_loss           | 0.722     |
---------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -29.6       |
| time/                   |             |
|    fps                  | 65          |
|    iterations           | 48          |
|    time_elapsed         | 1507        |
|    total_timesteps      | 98304       |
| train/                  |             |
|    approx_kl            | 0.012408519 |
|    clip_fraction        | 0.0615      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.14       |
|    explained_variance   | 0.917       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0734      |
|    n_updates            | 470         |
|    policy_gradient_loss | -0.00661    |
|    value_loss           | 0.636       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -28.6       |
| time/                   |             |
|    fps                  | 65          |
|    iterations           | 49          |
|    time_elapsed         | 1536        |
|    total_timesteps      | 100352      |
| train/                  |             |
|    approx_kl            | 0.008554655 |
|    clip_fraction        | 0.0501      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.135      |
|    explained_variance   | 0.894       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.104       |
|    n_updates            | 480         |
|    policy_gradient_loss | -0.00661    |
|    value_loss           | 0.899       |
-----------------------------------------
